"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Efficacy of ivabradine in combination with Beta-blocker versus uptitration of Beta-blocker in patients with stable angina.","Europe",2011,1,1,1,1,0,"unblinded","2010-2026",3.40119738166216,"pharmacological",1
"Effects of ivabradine and ranolazine in patients with microvascular angina pectoris.","Europe",2013,0,1,0,0,0,"blinded","2010-2026",3.85014760171006,"pharmacological",0
"Effects of a new metabolic modulator, ranolazine, on exercise tolerance in angina pectoris patients treated with beta-blocker or diltiazem.","Europe",1992,0,0,0,1,0,"blinded","1990s",4.65396035015752,"pharmacological",1
"Efficacy of the I(f) current inhibitor ivabradine in patients with chronic stable angina receiving beta-blocker therapy: a 4-month, randomized, placebo-controlled trial.","North America",2009,0,0,0,1,0,"blinded","2000s",6.79122146272619,"pharmacological",1
"Intracoronary autologous CD34+ stem cell therapy for intractable angina.","Asia",2010,1,0,1,1,0,"blinded","2010-2026",4.72738781871234,"pharmacological",1
"Efficacy of calcium channel blocker therapy for angina pectoris resulting from small-vessel coronary artery disease and abnormal vasodilator reserve.","North America",1985,1,1,0,1,0,"blinded","1980s",3.29583686600433,"pharmacological",1
"Antianginal efficacy of ranolazine when added to treatment with amlodipine: the ERICA (Efficacy of Ranolazine in Chronic Angina) trial.","North America",2006,1,0,0,0,0,"blinded","2000s",6.33859407820318,"pharmacological",0
"Evaluation of ranolazine in patients with type 2 diabetes mellitus and chronic stable angina: results from the TERISA randomized clinical trial (Type 2 Diabetes Evaluation of Ranolazine in Subjects With Chronic Stable Angina).","North America",2013,1,0,0,0,0,"blinded","2010-2026",6.85646198459459,"pharmacological",0
"Antianginal efficacy and safety of ivabradine compared with amlodipine in patients with stable effort angina pectoris: a 3-month randomised, double-blind, multicentre, noninferiority trial.","Europe",2007,0,0,0,1,0,"blinded","2000s",7.08673793451058,"pharmacological",1
"Effects of ranolazine with atenolol, amlodipine, or diltiazem on exercise tolerance and angina frequency in patients with severe chronic angina: a randomized controlled trial.","North America",2004,0,0,0,1,0,"blinded","2000s",6.71417052990947,"pharmacological",1
"Double-blind efficacy and safety study of a novel anti-ischemic agent, ranolazine, versus placebo in patients with chronic stable angina pectoris. Ranolazine Study Group.","North America",1994,0,0,0,1,0,"blinded","1990s",5.76832099579377,"pharmacological",1
"Comparative efficacy of ranolazine versus atenolol for chronic angina pectoris.","Europe",2005,0,0,0,1,0,"blinded","2000s",5.06890420222023,"pharmacological",1
"Efficacy of ivabradine, a new selective I(f) inhibitor, compared with atenolol in patients with chronic stable angina.","North America",2005,0,0,0,1,0,"blinded","2000s",6.84587987526405,"pharmacological",1
"Ranolazine improves angina in women with evidence of myocardial ischemia but no obstructive coronary artery disease.","North America",2011,0,1,0,0,0,"blinded","2010-2026",3.04452243772342,"pharmacological",0
"A 6-week double-blind comparison of amlodipine and placebo in patients with stable exertional angina pectoris receiving concomitant beta-blocker therapy.","Europe",1991,0,0,0,1,0,"blinded","1990s",4.54329478227,"pharmacological",1
"Effects of nicorandil on exercise tolerance in patients with stable effort angina: a double-blind study.","Asia",1986,0,0,0,1,0,"blinded","1980s",2.484906649788,"pharmacological",1
"Nicorandil Versus Nitroglycerin for Symptomatic Relief of Angina in Patients With Slow Coronary Flow Phenomenon: A Randomized Clinical Trial.","Asia",2015,1,0,1,0,0,"blinded","2010-2026",4.00733318523247,"pharmacological",0
"Effects of short-term treatment of nicorandil on exercise-induced myocardial ischemia and abnormal cardiac autonomic activity in microvascular angina.","Asia",1997,1,0,0,1,1,"blinded","1990s",2.63905732961526,"pharmacological",1
"Anti-ischemic effects and long-term survival during ranolazine monotherapy in patients with chronic severe angina.","North America",2004,0,0,0,1,0,"blinded","2000s",5.25749537202778,"pharmacological",1
"Efficacy of nicorandil versus propranolol in mild stable angina pectoris of effort: a long-term, double-blind, randomized study.","Europe",1992,1,0,0,1,0,"blinded","1990s",4.35670882668959,"pharmacological",1
"Antianginal and antiischemic effects of ivabradine, an I(f) inhibitor, in stable angina: a randomized, double-blind, multicentered, placebo-controlled trial.","North America",2003,0,0,0,1,0,"blinded","2000s",5.88887795833288,"pharmacological",1
"Oral nicorandil reduces ischemic attacks in patients with stable angina: A prospective, multicenter, open-label, randomized, controlled study.","Asia",2016,0,0,0,0,1,"unblinded","2010-2026",5.99893656194668,"pharmacological",1
"[Effects of the K(+) channel blocker tedisamil on hemodynamics, myocardial ischemia and neurohumoral systems in patients with stable angina pectoris. A comparison with the beta blocker atenolol].","Europe",1999,0,0,0,1,0,"blinded","1990s",3.89182029811063,"pharmacological",1
"Combination of calcium channel blockers and beta-blockers for patients with exercise-induced angina pectoris: beneficial effect of calcium channel blockers largely determined by their effect on heart rate.","Europe",1999,0,0,0,1,0,"blinded","1990s",5.8171111599632,"pharmacological",1
"Efficacy of Ivabradine in Combination with Beta-Blockers Versus Uptitration of Beta-Blockers in Patients with Stable Angina (CONTROL-2 Study).","Europe",2018,1,1,1,0,0,"unblinded","2010-2026",7.00760061395185,"pharmacological",0
"Effects of Exercise Training With and Without Ranolazine on Peak Oxygen Consumption, Daily Physical Activity, and Quality of Life in Patients With Chronic Stable Angina Pectoris.","North America",2019,0,0,0,1,0,"blinded","2010-2026",3.40119738166216,"pharmacological",1
"[Triple antianginal combinations in the treatment of elderly and senile patients with stable angina].","Europe",2016,0,1,0,1,1,NA,"2010-2026",4.68213122712422,"pharmacological",1
"Comparison of nicorandil and atenolol in stable angina pectoris.","Europe",1990,1,0,0,1,0,"blinded","1990s",3.63758615972639,"pharmacological",1
"Antianginal and anti-ischemic efficacy of nicorandil compared with nifedipine in patients with angina pectoris and coronary heart disease: a double-blind, randomized, multicenter study.","Europe",1992,0,0,0,1,0,"blinded","1990s",4.07753744390572,"pharmacological",1
"A double-blind comparison of nicorandil and metoprolol in stable effort angina pectoris.","Europe",1993,1,0,0,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
